sg_symbol,sg_number,crystal_system,volume,formula
P4/nmm,129,tetragonal,367.3119588080003,Hf2 Si2 Te2
Pmna,53,orthorhombic,442.5491819896326,As4
Pmmn,59,orthorhombic,344.61762830644733,Ti2 Br2 O2
P4/nmm,129,tetragonal,551.3908005615214,In2 Bi2
P-6m2,187,hexagonal,175.30533624694246,Nb1 O2
P1,1,triclinic,471.1386176000954,Sb2 As2 O6
P2_1/m,11,monoclinic,410.2197604304316,Mo2 O6
P-31m,162,trigonal,966.2762522135178,Cr2 Ge2 Te6
P-3m1,164,trigonal,351.74593356432075,Zr2 Br2 N2
P2_1/m,11,monoclinic,660.1268746467877,Pd2 Se2 O6
Pmm2,25,orthorhombic,741.905109642381,Nb2 Br4 O2
P4/nmm,129,tetragonal,585.3126438265234,Sr2 Sb2 Se4 F2
C2/m,12,monoclinic,348.0670447151606,Co2 O4
P4/nmm,129,tetragonal,543.1470708873202,Ag2 I2
P-3m1,164,trigonal,353.99535125279465,Co1 I2
C2/m,12,monoclinic,2138.8196440638612,Nb4 Se8 Br8
Pmmn,59,orthorhombic,419.0601600330266,Zr2 Br2 N2
C2/m,12,monoclinic,917.3917089117266,In2 Br6
P-3m1,164,trigonal,427.5725509869267,Y2 Ga2 I2
P-31m,162,trigonal,1254.6867551569223,Y2 I6
P2_1/c,14,monoclinic,1222.4536221621158,Nb4 Co4 Te8
P4/nmm,129,tetragonal,335.77730395765036,Mn2 Se2
P2_1/m,11,monoclinic,280.89837303364334,Al2 H2 O4
P-3m1,164,trigonal,168.76992487834002,Co1 O2
P2_1/c,14,monoclinic,2069.2551177381515,Bi4 Br12
P-3m1,164,trigonal,385.72481266728465,Y2 Br2 O2
P-3,147,trigonal,775.096265590884,Mg1 Re2 O8
P-3m1,164,trigonal,415.6814357827124,Bi2 O2 F2
P2/m,10,monoclinic,358.4818656620357,Ni1 Te1 O4
P2/m,10,monoclinic,700.6991883383678,Zr1 Ti1 Te4
P-3m1,164,trigonal,406.6461085373016,Si6 H2
P6/mmm,191,hexagonal,181.8012010660951,Co1 O2
P-3m1,164,trigonal,192.02839626957547,V1 O2
P-6m2,187,hexagonal,388.3610049818582,Te1 O3
P-6m2,187,hexagonal,303.8890358272962,Bi1 O2
P-3m1,164,trigonal,238.34495260009365,Ho2 C1
P-3m1,164,trigonal,390.1959421032353,Zr2 Te2 P1
P2_1/c,14,monoclinic,714.1476348145616,Te4 O8
P-3m1,164,trigonal,314.89180724654267,Lu2 H2 Cl2
P-3,147,trigonal,1751.218286883812,Te8 O18
C2/m,12,monoclinic,1224.1293432833636,U2 Br8
P4/mmm,123,tetragonal,450.19153832628496,Al1 Pd5 I2
P-3m1,164,trigonal,306.74844654644545,Ni1 I2
P-3m1,164,trigonal,505.13895284848695,Th1 I2
P2_1/c,14,monoclinic,2694.781865424753,Th4 I16
P-3m1,164,trigonal,421.56208816597626,Ce2 Si2 I2
P4/nmm,129,tetragonal,416.41158942376325,Zr2 Ge2 Te2
P-6m2,187,hexagonal,338.8344437999148,Ni2 Sb1 Te2
Cmme,67,orthorhombic,439.29452826165715,Au2 Br2
P4/nmm,129,tetragonal,326.47875431673026,Fe2 S2
P-3m1,164,trigonal,305.02146459960557,Hf2 N2 Cl2
P-1,2,triclinic,937.8826155135982,Cr2 P2 S8
Pmmn,59,orthorhombic,408.7214345816711,Sc2 Br2 O2
P2/c,13,monoclinic,1575.3061188909483,Cr2 Ag2 P4 S12
P2_1/m,11,monoclinic,740.7742836907396,Sc4 I4 O4
P2,3,monoclinic,448.79757974388923,Zn1 W1 O4
P-4m2,115,tetragonal,321.4597083844668,Zn1 Cl2
P-31m,162,trigonal,823.8091228073665,Ti2 Cl6
P-3m1,164,trigonal,333.26828536109315,Hf2 I2 N2
P-3m1,164,trigonal,696.618618801685,Te4 Au2
P-3m1,164,trigonal,329.63370491757536,Zr2 N2 Cl2
P-3m1,164,trigonal,389.83091641220403,Bi2 Pt1
P312,149,trigonal,884.4919518980691,Cu1 Bi1 P2 Se6
P2/m,10,monoclinic,623.9856370330468,Zr1 Ti1 Se4
Cm,8,monoclinic,1787.6268395750415,Ba1 B2 Se6
P-3m1,164,trigonal,376.16457251744504,Fe1 I2
P-3m1,164,trigonal,456.92132371924237,Sb2 Te1 Se2
P-1,2,triclinic,350.0183809997815,Y2 C2 Br2
P-3m1,164,trigonal,417.6360963308415,Y2 Ge1 I2
P-1,2,triclinic,646.5995993525743,Al2 Si4 O11
P-1,2,triclinic,942.4957725487247,Hg2 P2 Se6
P2/m,10,monoclinic,890.8705213349824,Ca1 Pb1 I4
C2/m,12,monoclinic,1003.8094210504154,Y2 Br6
P4/nmm,129,tetragonal,492.17590546974037,Nd2 I2 O2
P-3m1,164,trigonal,378.12217295395004,Ho2 Br2 O2
Pmmn,59,orthorhombic,448.60718411809256,Er2 Cl2 O2
C2,5,monoclinic,929.5458897907746,Cr1 P2 S7
P2/m,10,monoclinic,366.455049690465,Co1 Te1 O4
P6/mmm,191,hexagonal,202.20158994694833,Sb1
P4/nmm,129,tetragonal,325.14159072692365,Ta4 Se2
Pmn2_1,31,orthorhombic,1429.0778800760338,As4 Se6
P4/nmm,129,tetragonal,585.9661712343207,Y2 Te6
P-3m1,164,trigonal,334.8613428580155,V1 Br2
P6/mmm,191,hexagonal,696.6014677387428,Si1 Sb3
Pmc2_1,26,orthorhombic,1002.3199384559687,Si4 As8
P6/mmm,191,hexagonal,627.5660074072092,Si1 As3
P6/mmm,191,hexagonal,238.65293686915604,W1 O2
P-3m1,164,trigonal,247.1733920416836,Ti1 S2
P6/mmm,191,hexagonal,313.8998743541021,Ti1 O2
P-3m1,164,trigonal,294.21476512652225,Sn1 O2
P4/nmm,129,tetragonal,349.2926685433796,Ca2 Cl2 F2
Pmmm,47,orthorhombic,681.3229360419305,K2 Pd1 O2
P-3m1,164,trigonal,322.5525033548227,Cd1 Br2
P-3m1,164,trigonal,322.8268023216385,Cd1 Br2
Pmmn,59,orthorhombic,522.6571657328758,Sn2 S2
P2_1/m,11,monoclinic,531.3652999194655,Hf2 Se6
Pmna,53,orthorhombic,336.5134432612871,P4
C2/m,12,monoclinic,576.9691245857541,Nb2 O5
P-3m1,164,trigonal,352.8759754004716,Ba2 N1
P4/mmm,123,tetragonal,626.0660684198484,Ba2 Zr1 S4
P2_1/c,14,monoclinic,637.3251217970364,Ni2 P4
Pmm2,25,orthorhombic,407.4781098331518,Ag1 N1 O2
P4/mmm,123,tetragonal,336.5149608379721,Mg2 Si1 O4
P-3m1,164,trigonal,413.1121143307649,Ga2 Ge2 Te2
Aem2,39,orthorhombic,863.7334660875139,Sn4 S4
P-3m1,164,trigonal,435.78976937438813,Te3 As2
P2_1/m,11,monoclinic,544.2757191164351,Hf2 S6
P-3m1,164,trigonal,215.60467342039524,Ni1 S2
P-3m1,164,trigonal,199.00414907246213,Sn1 O2
P1,1,triclinic,293.0636190005913,Sb2 N2
P-1,2,triclinic,453.28243757804273,In2 Se2
C2/m,12,monoclinic,988.0538286143898,Hg2 I4
P-6m2,187,hexagonal,293.3543857272639,Cu1 Br1
Pmmn,59,orthorhombic,1053.5677989213716,U2 I6
Pmmn,59,orthorhombic,774.1991660976925,Tb2 Cl6
P4/mmm,123,tetragonal,415.33400543942224,Sr2 Co1 Br2 O2
P-3m1,164,trigonal,228.60416730321683,Mn1 H2 O2
P-3m1,164,trigonal,316.38480283312276,Tb2 Cl2
P6/mmm,191,hexagonal,358.7241046677711,Np1 O2 F2
P-1,2,triclinic,790.5186402667207,Pt1 S2 Cl6
