sg_symbol,sg_number,crystal_system,volume,formula
Pm-3m,221,cubic,61.842208164886245,Te1 Rh1 N3
P4mm,99,tetragonal,78.92222692462488,Hf1 Te1 O3
Pmm2,25,orthorhombic,79.09937085444218,Re1 As1 O2 F1
Pmm2,25,orthorhombic,73.23035232309923,Re1 W1 S1 O2
Pmm2,25,orthorhombic,78.46565151660907,Hf1 Bi1 O2 F1
Pmm2,25,orthorhombic,54.07276188698159,Li1 Y1 N1 O1 F1
Pmm2,25,orthorhombic,67.56040301163765,Be1 W1 O2 F1
Pmm2,25,orthorhombic,56.284085806510866,Sc1 As1 N1 O2
P4/mmm,123,tetragonal,62.596573889552495,Cr1 Te1 N2 O1
Pmm2,25,orthorhombic,111.73869807470838,Rb1 Sc1 S1 O2
Pmm2,25,orthorhombic,69.99450121482629,Hf1 Co1 N1 O2
P4mm,99,tetragonal,42.425006382159594,Li1 Fe1 N2 O1
P4mm,99,tetragonal,65.5724053169035,Ru1 Pb1 O3
Pmm2,25,orthorhombic,78.4690127418427,Ga1 Au1 S1 O2
Pmm2,25,orthorhombic,98.91068882813109,Cs1 Hg1 N1 O1 F1
Pmm2,25,orthorhombic,63.222979998898666,Os1 W1 N1 O2
Pm-3m,221,cubic,72.3063364106789,Y1 Hg1 N3
P4mm,99,tetragonal,73.6425196716857,Hg1 Te1 O3
P4mm,99,tetragonal,54.23431504380436,Mg1 Ru1 O3
Pmm2,25,orthorhombic,66.64655149406649,Sr1 V1 N1 O1 F1
P4mm,99,tetragonal,60.7733174825528,V1 Ga1 N2 O1
Pmm2,25,orthorhombic,78.7648485943794,Cr1 Cd1 O2 F1
Pmm2,25,orthorhombic,80.44954429277014,K1 Au1 N1 O1 F1
Pmm2,25,orthorhombic,50.53022089115651,Na1 Be1 N1 O1 F1
P4mm,99,tetragonal,57.30400800106567,K1 Co1 O3
Pmm2,25,orthorhombic,72.13709261962204,Sn1 Pt1 N1 O2
Pmm2,25,orthorhombic,90.44088329798439,Y1 Zr1 S1 O2
Pmm2,25,orthorhombic,91.96462631226629,Sc1 Sb1 S1 O2
P4mm,99,tetragonal,64.65928630400111,Ta1 Fe1 O3
Pm-3m,221,cubic,62.810349243532904,Sc1 W1 N3
Pmm2,25,orthorhombic,92.72664180398468,Na1 Li1 N1 O1 F1
P4mm,99,tetragonal,61.62536342376387,V1 Mo1 O3
Pmm2,25,orthorhombic,87.65684876376322,Cd1 As1 S1 O2
Pmm2,25,orthorhombic,70.88991178219237,Zr1 V1 N1 O2
Pmm2,25,orthorhombic,106.37772334700654,In1 Bi1 S1 O2
Pmm2,25,orthorhombic,52.085092588586534,Si1 Au1 N1 O1 F1
Pmm2,25,orthorhombic,68.44502124161166,Ga1 Mo1 N1 O1 F1
P4mm,99,tetragonal,82.09290471893429,Bi2 N2 O1
Pmm2,25,orthorhombic,63.45635117496683,Sb1 Pd1 N1 O2
Pmm2,25,orthorhombic,80.06331466523821,Tl1 Sn1 N1 O1 F1
Pmm2,25,orthorhombic,53.90007056062975,Li1 Sb1 O2 F1
Pmm2,25,orthorhombic,56.82521817849016,Zr1 Co1 O2 F1
P4mm,99,tetragonal,63.719283023672624,Mo1 W1 O3
Pmm2,25,orthorhombic,95.75966579601456,Sr1 Ta1 N1 O1 F1
Pmm2,25,orthorhombic,78.6915260512032,Zn1 W1 S1 O2
P4/mmm,123,tetragonal,61.32307189418478,Mn1 V1 O2 F1
Pm-3m,221,cubic,62.13025058846247,Sr1 Re1 N3
Pmm2,25,orthorhombic,79.29051337684511,Cs1 Ti1 N1 O1 F1
P4mm,99,tetragonal,53.180760508292515,Li1 Cd1 N3
Pmm2,25,orthorhombic,86.40430482777515,Y1 Pb1 N1 O2
Pmm2,25,orthorhombic,91.88066198751838,La1 Hf1 S1 O2
Pmm2,25,orthorhombic,84.66350871290217,As1 Pd1 S1 O2
P4mm,99,tetragonal,71.36745752425038,Nb1 Ge1 N3
Pmm2,25,orthorhombic,85.40902620527773,Rb1 Pd1 N1 O2
Pmm2,25,orthorhombic,68.38716798997922,Be1 Ga1 S1 O2
Pmm2,25,orthorhombic,88.4478682371332,Bi1 Au1 S1 O2
P4mm,99,tetragonal,73.30934518003521,In1 Au1 N2 O1
Pmm2,25,orthorhombic,56.60678676883894,Cr1 Pd1 N1 O2
Pmm2,25,orthorhombic,79.01429914265162,Rb1 Sn1 O2 F1
Pmm2,25,orthorhombic,68.10069156698933,Mo1 W1 N1 O2
P4mm,99,tetragonal,53.33260677282464,Co1 Pd1 N2 O1
Pmm2,25,orthorhombic,67.58036726815904,Rb1 W1 N1 O2
Pmm2,25,orthorhombic,77.73111363841937,Cs1 Ir1 O2 F1
P4mm,99,tetragonal,74.92323824309422,Cs1 W1 N3
Pmm2,25,orthorhombic,94.30625922336453,Sr1 Ca1 N1 O2
Pmm2,25,orthorhombic,42.55285109225532,Be1 B1 N1 O1 F1
Pmm2,25,orthorhombic,76.70302149068984,Zr1 As1 N1 O1 F1
P4mm,99,tetragonal,43.773386993984516,Sc1 Be1 N3
Pmm2,25,orthorhombic,54.09411712786367,Fe1 Cu1 N1 O2
Pmm2,25,orthorhombic,90.25494951052777,K1 Ta1 N1 O1 F1
Pmm2,25,orthorhombic,59.36888947837958,Ta1 Ni1 O2 F1
P4mm,99,tetragonal,79.17914718178801,Sr1 Fe1 N3
P4mm,99,tetragonal,67.97785191798093,In1 Mo1 N3
Pm-3m,221,cubic,62.80771755495121,Te1 Pt1 N3
Pmm2,25,orthorhombic,95.50216280151473,K1 Ru1 O2 F1
Pm-3m,221,cubic,43.88584804866888,Si1 B1 O3
Pmm2,25,orthorhombic,92.42617306574064,Sr1 Si1 N1 O2
Pmm2,25,orthorhombic,71.9891915973046,Ga1 Pt1 O2 F1
Pmm2,25,orthorhombic,62.72604048598451,Mn1 W1 N1 O2
Pmm2,25,orthorhombic,98.53130469131732,La1 Pt1 S1 O2
Pmm2,25,orthorhombic,62.25708029918175,Nb1 V1 N1 O1 F1
Pmm2,25,orthorhombic,82.50111856382016,Na1 Tl1 N1 O2
P4mm,99,tetragonal,78.70950376413613,In1 Ag1 N3
Pmm2,25,orthorhombic,57.39258587314187,Cu1 Ge1 N1 O2
P4mm,99,tetragonal,38.9519406414651,Li1 B1 N2 O1
Pm-3m,221,cubic,49.169206201359565,Be1 Sb1 N3
P4mm,99,tetragonal,73.4915825167284,Sn1 Ge1 N2 O1
Pmm2,25,orthorhombic,112.60587295565394,Ba1 Co1 N1 O1 F1
P4mm,99,tetragonal,64.57634105541692,V1 Te1 O3
Pmm2,25,orthorhombic,101.58141380579315,La1 Ru1 O2 F1
P4mm,99,tetragonal,72.28131465069286,Cd1 Ga1 O3
P4mm,99,tetragonal,49.95858483228457,Be1 Fe1 N3
Pmm2,25,orthorhombic,79.6452160621526,Zr1 Te1 O2 F1
P4mm,99,tetragonal,84.4121955308453,Sn1 Pb1 N2 O1
P4mm,99,tetragonal,59.717637684105355,Na1 Si1 N2 O1
P4mm,99,tetragonal,51.455622994801836,Ni1 Mo1 N2 O1
P4mm,99,tetragonal,96.85516861432713,K1 Cd1 N3
Pm-3m,221,cubic,59.633642343691335,Mg1 Os1 N3
Pmm2,25,orthorhombic,82.83765895304353,Ta1 Ir1 S1 O2
Pm-3m,221,cubic,82.2527363852419,Sn1 Hg1 N3
Pmm2,25,orthorhombic,65.41752462490254,Na1 Ru1 N1 O1 F1
P4mm,99,tetragonal,50.88627095977151,Ni2 N3
Pm-3m,221,cubic,57.446867839393825,Nb1 Re1 N3
P4mm,99,tetragonal,63.41629961507869,Tl1 Re1 O3
Pmm2,25,orthorhombic,77.57856032043267,Na1 Hf1 S1 O2
Pmm2,25,orthorhombic,83.03311264685674,Ca1 Co1 N1 O1 F1
Pmm2,25,orthorhombic,69.97850145427304,Sc1 Cr1 S1 O2
Pmm2,25,orthorhombic,69.41603093011044,Mg1 Au1 N1 O2
P4mm,99,tetragonal,73.01528904387706,Na1 Ca1 N2 O1
Pmmm,47,orthorhombic,45.97469685125874,Be1 Si1 N1 O1 F1
Pmm2,25,orthorhombic,64.91180704781445,Pd1 W1 N1 O2
Pmm2,25,orthorhombic,57.274780085498314,Mn1 Te1 N1 O2
P4mm,99,tetragonal,48.777496452629585,Co1 Ir1 N3
Pmm2,25,orthorhombic,67.16009774637271,Cu1 W1 S1 O2
Pmm2,25,orthorhombic,83.57780033553,La1 Au1 O2 F1
P4mm,99,tetragonal,54.26514427827963,Ge1 Pd1 O3
P4mm,99,tetragonal,80.81449033153648,Bi1 Rh1 O3
Pm-3m,221,cubic,73.34813232496867,Hf1 Bi1 N3
Pmm2,25,orthorhombic,64.58850039146407,Cu1 Ni1 S1 O2
Pmm2,25,orthorhombic,99.09889001438528,La1 Ga1 N1 O2
P4mm,99,tetragonal,60.72384494167694,La1 As1 N2 O1
Pmm2,25,orthorhombic,59.97218741182676,Ni1 Pd1 N1 O2
P4/mmm,123,tetragonal,54.37927798747921,Al1 Sb1 N1 O2
P4mm,99,tetragonal,75.35870102411191,Hf1 Pd1 N2 O1
P4mm,99,tetragonal,57.973128633373435,Sn1 Ge1 N2 O1
Pmm2,25,orthorhombic,72.39661792796437,Pb1 W1 N1 O1 F1
Pmm2,25,orthorhombic,102.92501577964373,Rb1 Tl1 N1 O1 F1
Pmm2,25,orthorhombic,82.59871552064246,Ti1 Sn1 S1 O2
Pmm2,25,orthorhombic,78.75993378634622,Cd1 Mo1 N1 O1 F1
Pm-3m,221,cubic,60.94233088685358,As1 Ru1 N3
Pmm2,25,orthorhombic,93.1941397719596,Na1 Y1 S1 O2
Pm-3m,221,cubic,85.5770931258673,Y1 Sb1 N3
P4mm,99,tetragonal,70.72172648257097,Mg1 In1 O3
Pmm2,25,orthorhombic,68.31896297672932,Ge1 Rh1 O2 F1
Pmm2,25,orthorhombic,64.86222170236978,V1 Ga1 N1 O1 F1
P4mm,99,tetragonal,66.44596240627385,Ta1 B1 N2 O1
Pmm2,25,orthorhombic,80.86325660742081,Mn1 Hg1 O2 F1
Pmm2,25,orthorhombic,134.50923026352433,Ba1 Pb1 S1 O2
Pmm2,25,orthorhombic,59.687369102658074,V1 Sn1 N1 O2
P4mm,99,tetragonal,86.85428366092452,K1 Sn1 N2 O1
P4mm,99,tetragonal,92.74631713855706,La1 V1 O3
Pmm2,25,orthorhombic,83.2830750467379,Ag1 Hg1 O2 F1
P4mm,99,tetragonal,60.71694790478276,Li1 Rh1 N3
P4mm,99,tetragonal,82.10555136665883,Sr1 Cr1 N2 O1
P4mm,99,tetragonal,56.0781525217182,Mg1 Ru1 N2 O1
P4mm,99,tetragonal,55.30475928258309,Fe1 Sn1 N2 O1
P4mm,99,tetragonal,65.03308055462124,Mg1 Cd1 N3
P4mm,99,tetragonal,65.47337997678328,Y1 Pt1 N2 O1
P4mm,99,tetragonal,50.99195492621565,Fe1 B1 O3
Pm-3m,221,cubic,85.83683251663957,Hg1 Bi1 N3
P4mm,99,tetragonal,73.53162028307946,Nb1 In1 N2 O1
Pmm2,25,orthorhombic,63.81129442748336,V1 Au1 O2 F1
