sg_symbol,sg_number,crystal_system,volume,formula
Fm-3m,225,cubic,89.09109455639522,Ba1 Te1
F-43m,216,cubic,27.982032094119386,B1 As1
P3m1,156,trigonal,84.45119345190359,Ba1 Ga1 Si1 H1
P-4m2,115,tetragonal,44.72711163804115,Al1 Ga1 N2
P6_3mc,186,hexagonal,46.9920406663949,B2 P2
P4/nmm,129,tetragonal,99.21246721688846,Y2 S2 F2
F-43m,216,cubic,53.749543633124475,Ti1 Ge1 Pt1
Fm-3m,225,cubic,53.438500981034636,Mg1 Te1
I-42d,122,tetragonal,228.75707421904065,Mg2 Sn2 As4
I-42d,122,tetragonal,181.6783534256515,Be2 Sn2 As4
I-42d,122,tetragonal,134.60965107972058,Be2 Si2 P4
I-42d,122,tetragonal,155.0514237418144,Be2 Si2 As4
I-42d,122,tetragonal,162.5400589323381,Be2 Ge2 As4
Fm-3m,225,cubic,92.10505019927393,Ca2 Si1
F-43m,216,cubic,55.89217887411322,Si1 Sn1
Fm-3m,225,cubic,153.8863637796147,Cs2 Se1
P3m1,156,trigonal,50.67750495352285,Zr1 Zn1 N2
P2_1/c,14,monoclinic,185.98725750468816,P8 Ir4
Fm-3m,225,cubic,156.98536363806267,K3 Sb1
I4/mcm,140,tetragonal,237.40143309180925,Na2 Al2 Te4
R-3m,166,trigonal,95.73910980636602,Ba2 N1 F1
P6_3mc,186,hexagonal,121.08216898600315,Al2 Sb2
F-43m,216,cubic,47.721332463377266,Li1 Zn1 P1
Cmc2_1,36,orthorhombic,118.60518287439976,Li4 P2 N2 O4
Cmc2_1,36,orthorhombic,136.75522615174322,Li2 Ge4 N6
P4/nmm,129,tetragonal,82.93114993568877,Y2 O2 F2
Fm-3m,225,cubic,103.98198843065039,K2 S1
R-3m,166,trigonal,92.08099301431679,Na1 Y1 S2
Cmc2_1,36,orthorhombic,206.86978490131665,Na4 Pt2 S4
Pm-3m,221,cubic,66.56181442987541,Ba1 Li1 F3
P6_3mc,186,hexagonal,162.05746016414844,Zn4 S4
I4/mcm,140,tetragonal,107.0994793186458,Ca2 B4 C4
Fm-3m,225,cubic,62.009456031024406,Ba1 F2
P4/nmm,129,tetragonal,146.19663698210158,Ba2 Hf2 N4
Cmcm,63,orthorhombic,381.2386888481068,Ba2 Y2 Cu2 Te6
P312,149,trigonal,126.14829829903111,Sr1 Ge1 Te1 O6
Fm-3m,225,cubic,204.40007260025703,Cs3 Sb1
P6_3mc,186,hexagonal,138.261815508557,Mg2 Te2
C2/m,12,monoclinic,93.62058691812592,K2 C1 N2
C2/c,15,monoclinic,160.82028503203662,K2 Sb2 O4
C2/c,15,monoclinic,180.03814885984778,Rb2 Sb2 O4
P6_3/mmc,194,hexagonal,194.62704620062613,Ba2 Li2 Sb2
Fm-3m,225,cubic,159.6621324892815,Rb2 Si1 F6
I4/mmm,139,tetragonal,306.1193133670968,Rb4 Au4 O4
P-3m1,164,trigonal,73.57961084607673,Sr1 Mg2 N2
P-6m2,187,hexagonal,68.04033614746585,Sr1 Li1 P1
P-6m2,187,hexagonal,77.05993008196977,Ba1 Li1 P1
P-6m2,187,hexagonal,83.02655598491421,Ba1 Li1 As1
Pm-3m,221,cubic,67.39878761507451,Sc1 F3
F-43m,216,cubic,40.475675140540325,Zn1 S1
P6_3mc,186,hexagonal,119.89336872302735,Cd2 Se2
P-43m,215,cubic,172.32066732058948,Ta1 Cu3 S4
Fm-3m,225,cubic,41.84226852826671,Mg1 Se1
P-3,147,trigonal,294.9867151570083,K2 Sn1 As2 S6
Fm-3m,225,cubic,55.731533542061,Sr1 S1
P-3m1,164,trigonal,137.24633600303926,Rb2 Pd1 C2
P-3m1,164,trigonal,136.07525824240167,Rb2 Pt1 C2
I-4,82,tetragonal,211.34865809656222,Sn1 Hg2 Se4
R-3m,166,trigonal,55.07115484411581,Cd1 C1 N2
C2/m,12,monoclinic,226.8539907690135,Rb2 Cu6 S4
P6_3/mmc,194,hexagonal,90.81321381223702,Ga2 Cu2 O4
P6_3/mmc,194,hexagonal,100.45064747320676,Ga2 Ag2 O4
P6_3/mmc,194,hexagonal,113.93131782560643,Sc2 Ag2 O4
I4/mmm,139,tetragonal,52.14688931814933,Ba1 O2
Pnma,62,orthorhombic,402.7240227315787,Sr8 Si4
Cmcm,63,orthorhombic,395.6168509853926,Cs2 Y2 Hg2 Se6
I-4,82,tetragonal,153.989929590241,Li1 Zn1 P1 S4
Pnma,62,orthorhombic,463.8497762120236,Ba4 Ca4 Sn4
Fm-3m,225,cubic,133.9565841544993,Rb2 Se1
Fm-3m,225,cubic,17.022154048732133,Li1 F1
R-3c,167,trigonal,87.42000774428871,Al4 O6
F-43m,216,cubic,64.42246466223851,Y1 Ni1 Sb1
Fm-3m,225,cubic,46.82072067600768,Li2 S1
P6_3/mmc,194,hexagonal,148.8406558577737,Zr4 S2 N4
R-3,148,trigonal,125.00873899311868,Ba1 Ti1 B2 O6
Cc,9,monoclinic,260.8664223064312,Al4 Se6
Fmmm,69,orthorhombic,235.05278411557023,Rb2 Pd3 S4
C2/c,15,monoclinic,249.3362235631524,K2 Sb2 S4
