sg_symbol,sg_number,crystal_system,volume,formula
P-62m,189,hexagonal,378.0116276132244,K6 S6
P2_13,198,cubic,605.8669914736371,K12 V4 O16
Cmc2_1,36,orthorhombic,243.96208398588038,Rb4 Zr2 O6
P4_12_12,92,tetragonal,135.42230508638067,Mn4 O4 F4
C2,5,monoclinic,83.72649099729853,Li2 Co1 Si1 O4
R3c,161,trigonal,184.2219661539054,Ca2 Tl2 F6
P-3m1,164,trigonal,295.838443811799,Tl2 Pd4 Se6
R-3m,166,trigonal,72.27053993356496,Ca1 Hg1 O2
R3m,160,trigonal,70.6116948462732,Mo1 Se2
P2/c,13,monoclinic,340.99193493913276,Li8 Zr6 O16
R3m,160,trigonal,168.03698733462977,Cs1 Ge1 Cl3
Cmcm,63,orthorhombic,184.91102422832287,Rb2 Au2 O4
Cmcm,63,orthorhombic,162.09940560144992,Rb2 Cu2 O4
P6_3mc,186,hexagonal,684.6098729210929,Na12 Mn2 Te8
I4/mmm,139,tetragonal,270.088700267394,Cs3 Y1 F6
P31c,159,trigonal,298.9199462484714,Si12 N16
R-3m,166,trigonal,47.04078425937275,Mn1 C1 N2
Cmcm,63,orthorhombic,211.47328248713313,Na4 Sb2 Au2
Cmcm,63,orthorhombic,186.16545476670834,Na4 As2 Au2
Cmcm,63,orthorhombic,213.01798631843792,K4 Cu2 P2
Im-3m,229,cubic,730.5069348806485,Si12 O24
Cmc2_1,36,orthorhombic,191.4351139806069,Ge2 H6 Cl2
R-3,148,trigonal,100.28836934278858,Li2 As2 O6
R-3m,166,trigonal,62.97029630380625,Y1 Cu1 O2
I-42m,121,tetragonal,266.7732702550969,Tl2 Cd1 Ge1 Te4
P6_3mc,186,hexagonal,481.1726747331583,Cd4 I8
Pna2_1,33,orthorhombic,444.41551118871223,Os4 O4 F20
R-3,148,trigonal,159.15112183742045,Cs1 Sb1 F6
P-42m,111,tetragonal,280.26669061361844,Ag2 Hg1 I4
P6_3/mmc,194,hexagonal,91.44468655532995,Al2 Ag2 O4
P6_3mc,186,hexagonal,162.05746016414844,Zn4 S4
I4mm,107,tetragonal,380.3749494687869,Cs2 V5 O13
R-3m,166,trigonal,188.88107478661263,K3 Cu3 P2
Pca2_1,29,orthorhombic,251.8643026016888,K4 Ge4 N4 O4
P2_12_12_1,19,orthorhombic,259.07515711663484,I4 O8 F4
Immm,71,orthorhombic,282.71793618771517,K2 P2 S6
P6_3mc,186,hexagonal,500.53254529490727,Ca8 Cl12 O2
Fmmm,69,orthorhombic,296.7812325299227,K4 P6
Ibam,72,orthorhombic,277.7043755198865,K4 Si2 P4
Fdd2,43,orthorhombic,141.03307037476145,Au4 O6
Cmc2_1,36,orthorhombic,172.98071601880687,Na4 Ge2 O6
P2_13,198,cubic,572.2723302095445,Li8 Mn12 Zn4 O32
I4/mmm,139,tetragonal,113.75610905027642,K2 Zn1 F4
Cmmm,65,orthorhombic,122.3858587847978,Cd1 Pt3 O6
R-3m,166,trigonal,179.70537910414743,Ga2 Ge2 Te2
I4/mcm,140,tetragonal,221.12754766527908,Tl2 Ga2 Se4
I4/mcm,140,tetragonal,219.67810834635958,Al2 Tl2 Se4
P6_3/mmc,194,hexagonal,114.94104262896538,Na2 Be2 As2
Ibam,72,orthorhombic,176.46884081087325,K4 Zn2 O4
Cmcm,63,orthorhombic,293.07582571067627,K4 As4 Pd2
P-3m1,164,trigonal,154.408821069803,Sr1 Mg2 Sb2
P-3m1,164,trigonal,144.70108674023018,Ca1 Mg2 Sb2
P2_1,4,monoclinic,146.37833282475358,Ag4 S2
P-3m1,164,trigonal,118.87389001812933,Ca1 Mg2 As2
P4/nmm,129,tetragonal,87.28785273366259,Li2 Be2 As2
Pnnm,58,orthorhombic,103.49746797264433,As4 Ru2
P1,1,triclinic,179.23243254449127,Si4 O8
P-6c2,188,hexagonal,443.8928122168485,Ba2 Sn2 Ge6 O18
Pna2_1,33,orthorhombic,187.9439643154276,Zn4 Ge4 N8
P6_3mc,186,hexagonal,226.76277667745455,Bi2 Te2 Cl2
Cmmm,65,orthorhombic,116.87226493352038,Zn1 Pt3 O6
R-3m,166,trigonal,281.94279585386863,Rb3 Sb2 Au3
R-3m,166,trigonal,254.9442877569503,K3 Sb2 Au3
R-3m,166,trigonal,145.3144858225455,Ca1 Ti1 F6
R-3,148,trigonal,143.02623904629786,Rb1 Sb1 F6
P-62m,189,hexagonal,341.99661670975325,Ba3 Na3 Bi3
C2,5,monoclinic,119.87676225332858,Li1 Fe1 P2 O7
P6_3mc,186,hexagonal,42.005508719514054,Si2 C2
Cmcm,63,orthorhombic,215.732402811669,Na4 Ag2 Sb2
Cmcm,63,orthorhombic,282.6313145906764,K4 Ag2 Sb2
R-3m,166,trigonal,183.39649972469087,K2 Be2 Pb1 F8
P2_1/c,14,monoclinic,292.8177122062606,Li8 As8
P4/mmm,123,tetragonal,136.7336648988483,K2 Al1 F5
P4/nmm,129,tetragonal,113.43362687295678,Rb2 Na2 O2
P4/nmm,129,tetragonal,106.92026552383334,Na2 Li2 S2
Fm-3m,225,cubic,92.74329737462163,K1 I1
Pbca,61,orthorhombic,323.1992392434704,Zn8 As8
R-3,148,trigonal,148.6147093312265,Cs1 As1 F6
R-3,148,trigonal,133.42095155549643,Rb1 As1 F6
Pmc2_1,26,orthorhombic,249.07059706716134,W2 Cl4 O4
R3c,161,trigonal,247.98725143318734,Na6 P2 S2 O6
P-3m1,164,trigonal,132.98585834234967,Sr1 Cd2 As2
P2_12_12_1,19,orthorhombic,220.6261981075205,H4 Br4
I-4,82,tetragonal,292.3597447561703,Tb5 Ag1 S8
R3m,160,trigonal,126.37138376210274,Tb1 H3 C3 O6
P-3m1,164,trigonal,115.3518844898082,Sr1 Zn2 As2
C2/m,12,monoclinic,140.84582451951334,Sr2 C2 O6
R-3m,166,trigonal,66.13632537256666,K1 Y1 O2
P-3m1,164,trigonal,106.92801433059348,Li3 La1 P2
P2_1,4,monoclinic,553.9485036792132,P8 S10
P-3m1,164,trigonal,139.3729315692995,Li3 La1 Sb2
Cmcm,63,orthorhombic,247.70293596644507,K4 Ag2 As2
I-4,82,tetragonal,72.32301016983023,B1 As1 O4
I4_1/amd,141,tetragonal,163.57790969321988,Na2 Y2 F8
Cmcm,63,orthorhombic,195.33869267836107,Rb2 Au2 S2
Pmma,51,orthorhombic,233.293506400185,Rb2 Te2 Au2
C2/c,15,monoclinic,162.27637702406628,Mn4 Cr2 O8
P-43m,215,cubic,408.2246019212361,Cs1 Be4 Al4 B12 O28
C2,5,monoclinic,42.08832579467129,Zn1 H2 O2
P4_32_12,96,tetragonal,188.2784316403346,Te4 O8
P1,1,triclinic,70.5202893249416,H3 Br1 O1
P31m,157,trigonal,355.6810614973257,K3 V5 O14
Ibam,72,orthorhombic,320.370783272849,K4 Ge2 As4
P-3m1,164,trigonal,208.06974823405972,Cs1 Au3 Se2
P-3m1,164,trigonal,192.91251319745422,Rb1 Au3 Se2
P-3m1,164,trigonal,200.93057033120013,Cs1 Au3 S2
R-3m,166,trigonal,59.433166519600285,Sr1 Zr1 N2
R-3m,166,trigonal,57.78738202959197,Sr1 Hf1 N2
R-3m,166,trigonal,134.6594346498957,Na1 Sn2 As2
R3m,160,trigonal,122.236749499089,Tm1 H3 C3 O6
I-4,82,tetragonal,131.76632341843222,Ba1 La1 Zn1 Ru1 O6
R-3m,166,trigonal,146.46446138267802,Tl1 Sb1 F6
P-42c,112,tetragonal,311.2752334432311,Al2 Cu2 Cl8
P2_1/m,11,monoclinic,184.63901005643163,Ba2 Se2 O6
R3m,160,trigonal,68.41838398576652,K1 Nb1 O3
I-42d,122,tetragonal,300.5018423018986,Ca2 Gd4 S8
R-3c,167,trigonal,273.1697774133604,K6 C2 O6 F2
C2/c,15,monoclinic,388.9893292143459,Sr2 P12 Pt8
I4/mmm,139,tetragonal,187.57998185596648,Sr4 P2 O1
R-3m,166,trigonal,120.54497892078051,Ba1 Ti1 F6
R-3,148,trigonal,125.99021314255971,Ba1 Sn1 F6
P6_3/mmc,194,hexagonal,194.9069009701512,K2 Zn2 Sb2
P-3m1,164,trigonal,127.2228823150891,Ba1 Mg2 P2
P1,1,triclinic,312.7255232196587,Li4 Mn8 O13 F3
R-3m,166,trigonal,256.8668466361242,K4 Hg1 P2
R-3m,166,trigonal,188.88635151737876,Na4 Cd1 P2
P4/nmm,129,tetragonal,103.33232213395327,K2 Na2 O2
R3m,160,trigonal,168.594205065705,Zn1 In2 S4
Pm,6,monoclinic,123.75652704028747,Ag3 S1 I1
R-3,148,trigonal,105.83808704594165,Zn1 Pt1 F6
R-3,148,trigonal,126.73386951416587,Ca1 Pt1 F6
I4/mmm,139,tetragonal,195.69885980603152,Ba2 Hf1 S4
Cmcm,63,orthorhombic,158.30799509216686,Na4 Cu2 P2
Ibam,72,orthorhombic,313.37158936102423,K4 Mn2 Se4
Ibam,72,orthorhombic,305.7134521512099,Rb4 Mn2 S4
Ibam,72,orthorhombic,278.007727304226,K4 Mn2 S4
P6_3/mmc,194,hexagonal,128.4216518434505,La2 Se2 F2
P6_3/mmc,194,hexagonal,150.2887597029721,K2 Zn2 P2
Pmn2_1,31,orthorhombic,65.75113413248339,Cr2 H2 O4
C2,5,monoclinic,174.41269068814424,Li5 Fe1 Si2 O8
P6_3/mmc,194,hexagonal,175.97158670598398,K2 Cu2 Te2
Fm-3m,225,cubic,192.93008308413235,Cs2 Ge1 F6
P6_3/mmc,194,hexagonal,182.9630772212327,P2 F10
P6_3/mmc,194,hexagonal,149.37803707164463,K2 Cu2 Se2
P4/nmm,129,tetragonal,137.4718253754572,Na2 Cu2 Te2
P-3m1,164,trigonal,159.03109546283014,Rb2 Pt1 F6
R-3m,166,trigonal,56.287622052453074,K1 Sc1 O2
R-3m,166,trigonal,70.3895199277367,Rb1 Tl1 O2
P-42_1m,113,tetragonal,103.41189580430773,Ca2 Fe2 O4
R-3m,166,trigonal,60.3210976005607,Rb1 Sc1 O2
P-43n,218,cubic,757.0884315337254,Na8 Al6 Si6 I2 O24
I-4,82,tetragonal,236.47820220844537,Al2 Hg1 Te4
R3m,160,trigonal,76.05756054263813,C1 S1 O1
P1,1,triclinic,197.11896295459928,Li5 Mn5 O9 F1
P-3m1,164,trigonal,148.1594660938572,Ca1 Cd2 Sb2
P-62m,189,hexagonal,144.07259287898202,K2 U1 F6
Pm-3m,221,cubic,150.46283885430452,K3 Au1 O1
P6_3mc,186,hexagonal,243.03707943230896,Zn6 S6
P6_3/mmc,194,hexagonal,164.5281547671996,K2 Zn2 As2
Cmc2_1,36,orthorhombic,216.3722450375164,Sb4 Pd8
F-43m,216,cubic,117.98434466868464,Tl1 Cl1 O4
P2/m,10,monoclinic,287.0563563571421,Li9 Fe5 Si2 O16
P4bm,100,tetragonal,448.44421726057897,K4 V6 O16
Cm,8,monoclinic,290.1496900494438,Tm2 Cu2 Pb2 Se6
P4/nmm,129,tetragonal,163.4393584660056,Rb2 Li2 Se2
P6_3/mmc,194,hexagonal,81.76147471084846,Si4
I-42d,122,tetragonal,320.58369622947515,Sm4 Pb2 S8
I-4c2,120,tetragonal,353.7687040983504,Be2 H16 S2 O16
I-42d,122,tetragonal,291.97003493022316,Tb4 Yb2 S8
Immm,71,orthorhombic,86.31256895309748,Al1 Fe1 F5
I4/mmm,139,tetragonal,238.33978949791017,Ba4 As2 O1
F-43m,216,cubic,155.79716958863665,Fe5 Cu1 O8
Pbcm,57,orthorhombic,194.57887912938278,Tl4 F4
I4_1/amd,141,tetragonal,170.56239968626545,Ba2 Cu4 O4
C2/m,12,monoclinic,39.07341310339671,Li1 Cu1 O2
