sg_symbol,sg_number,crystal_system,volume,formula
I4/mmm,139,tetragonal,105.42674933638602,Ca1 Ag2 Ge2
I4/mmm,139,tetragonal,126.74464557157518,Ba1 Mg2 Ge2
I4/mmm,139,tetragonal,87.35415929614823,Sr1 Si2 Cu2
Pm-3m,221,cubic,70.37142023103846,Dy1 Pd3
I4/mmm,139,tetragonal,120.47240813882078,Ba1 Mg2 Si2
P4/mmm,123,tetragonal,32.418396199610754,Ti1 Al1
Pm-3m,221,cubic,42.180971321593155,Er1 Pd1
P6_3/mmc,194,hexagonal,88.34257737748803,Te2 Pd2
P-62m,189,hexagonal,125.02364014504614,Mn3 Nb3 Si3
Cmcm,63,orthorhombic,138.23079304944977,Mg2 S2 O8
Pm-3m,221,cubic,75.28964050058917,Tm1 Al3
P6_3/mcm,193,hexagonal,367.9903319365361,Ba6 N2
P-3m1,164,trigonal,295.838443811799,Tl2 Pd4 Se6
P6/mmm,191,hexagonal,65.73703650555831,Tb1 Co3 B2
R-3m,166,trigonal,72.27053993356496,Ca1 Hg1 O2
Pm-3m,221,cubic,67.80982917635971,Lu1 Pt3
Cmcm,63,orthorhombic,184.91102422832287,Rb2 Au2 O4
Cmcm,63,orthorhombic,162.09940560144992,Rb2 Cu2 O4
Im-3,204,cubic,386.5969421348704,Fe4 Sb12
Imma,74,orthorhombic,228.1860035193357,Rb2 Hg4
Immm,71,orthorhombic,222.386321608161,Ba3 Al2 Si2
P-62m,189,hexagonal,145.30283889011517,Zr3 Si3 Ru3
Cmcm,63,orthorhombic,148.3487512532648,Ho2 Ga4 Pd2
P-62c,190,hexagonal,359.6455855992041,Li12 Sb6
Immm,71,orthorhombic,275.03412767990125,Rb1 Th2 Se6
Pnma,62,orthorhombic,273.6802454911185,Ca4 Sb4 Pt4
P4/nmm,129,tetragonal,240.02615262571285,Sr2 Sb4 Pd4
P-62m,189,hexagonal,130.41255458311377,Si3 Pd6
P-3m1,164,trigonal,75.87571607594576,Te2 Pd1
Cmcm,63,orthorhombic,166.0376045561244,Cd2 S2 O8
I4/mmm,139,tetragonal,101.45477972944042,Ca1 Al2 Ga2
Pbam,55,orthorhombic,291.90590822624523,Y8 C10
P4/nmm,129,tetragonal,137.45404094477053,Er2 Zn2 As2 O2
P-3m1,164,trigonal,166.499736489258,Cs1 Cu3 S2
Cmcm,63,orthorhombic,213.01798631843792,K4 Cu2 P2
Ia-3,206,cubic,755.591860941857,Ca24 N16
Fm-3m,225,cubic,189.63175015671445,Cs2 K1 Cu1 F6
Pnma,62,orthorhombic,299.84792194645865,Yb4 Ag4 Sb4
Pnma,62,orthorhombic,168.64217258552344,Zr4 Co4 P4
I-42d,122,tetragonal,137.95914042683933,Cu2 B2 Se4
P-62m,189,hexagonal,179.92917615830387,Yb3 Ge5
P6_3/mmc,194,hexagonal,244.74930113402382,Na6 Cd2
R-3,148,trigonal,159.15112183742045,Cs1 Sb1 F6
