sg_symbol,sg_number
I4/mmm,139
I4/mmm,139
I4/mmm,139
Pm-3m,221
I4/mmm,139
P4/mmm,123
Pm-3m,221
P6_3/mmc,194
P-62m,189
Cmcm,63
Pm-3m,221
P6_3/mcm,193
P-3m1,164
P6/mmm,191
R-3m,166
Pm-3m,221
Cmcm,63
Cmcm,63
Im-3,204
Imma,74
Immm,71
P-62m,189
Cmcm,63
P-62c,190
Immm,71
Pnma,62
P4/nmm,129
P-62m,189
P-3m1,164
Cmcm,63
I4/mmm,139
Pbam,55
P4/nmm,129
P-3m1,164
Cmcm,63
Ia-3,206
Fm-3m,225
Pnma,62
Pnma,62
I-42d,122
P-62m,189
P6_3/mmc,194
R-3,148
I4/mmm,139
I4_1/amd,141
P6_3/mmc,194
Pnma,62
Pnma,62
C2/m,12
Fm-3m,225
R-3m,166
R-3m,166
P6_3/m,176
R-3m,166
R-3m,166
R-3m,166
C2/m,12
I4/mmm,139
Immm,71
C2/m,12
Fdd2,43
Cmc2_1,36
P6_3/mmc,194
Fm-3m,225
I4/mmm,139
Cmmm,65
P6_3/mmc,194
Ibam,72
P-3m1,164
P-3m1,164
P2_1,4
P-3m1,164
P-3m1,164
P6_3/mmc,194
P4/nmm,129
Pnnm,58
P6_3/mmc,194
Ia-3,206
Pm-3m,221
P-62m,189
P-62m,189
Pna2_1,33
P6_3/m,176
Cmmm,65
P6_3/mmc,194
Fm-3m,225
R-3m,166
R-3m,166
P-3m1,164
P-62m,189
Pnma,62
P-62m,189
P4/nmm,129
P-3m1,164
I4_1/amd,141
Pnma,62
Cmcm,63
Pna2_1,33
C2/m,12
Pnma,62
Fd-3m,227
Immm,71
P2_13,198
Immm,71
P6_3/mmc,194
C2/m,12
I4/mmm,139
P4/nmm,129
Cmcm,63
Fm-3m,225
P4/nmm,129
P-62m,189
R32,155
R-3,148
Fddd,70
R3c,161
Ibam,72
P-3m1,164
P-3m1,164
R-3m,166
Pnma,62
P-3m1,164
I4/mmm,139
I-4,82
I4_1/amd,141
Cmcm,63
Cmcm,63
C2/c,15
I4/mmm,139
Fm-3m,225
Fm-3m,225
Cmcm,63
Fd-3m,227
Fm-3m,225
Fm-3m,225
P-3m1,164
Fmmm,69
P-62m,189
P-62m,189
Pmmn,59
P6_3/mmc,194
R-3m,166
P-42c,112
I4/mmm,139
Fm-3m,225
P6_3mc,186
Fm-3m,225
P6_3/mmc,194
R3m,160
Pnma,62
R-3m,166
I4/mmm,139
P6/mmm,191
P-42_1m,113
I4/mmm,139
R-3m,166
R-3,148
P6_3/mmc,194
Pnma,62
I4/mmm,139
P-3m1,164
R-3m,166
R-3m,166
P6_3mc,186
Cmcm,63
R-3,148
R-3,148
I4/mmm,139
Cmcm,63
P-62m,189
P6_3/mmc,194
Immm,71
P4/mmm,123
Cmmm,65
R-3m,166
P6_3mc,186
P4/mbm,127
Cmcm,63
P-62m,189
P6_3/mmc,194
Fm-3m,225
Fm-3m,225
I4/mmm,139
P-62m,189
P6_3/mmc,194
P6_3/mmc,194
P4/nmm,129
P-3m1,164
P-3m1,164
R-3m,166
Im-3,204
R-3m,166
R-3m,166
P6/mmm,191
I4/mcm,140
Pnma,62
P-3m1,164
P4/nmm,129
Fm-3m,225
P4/nmm,129
I-4,82
P6/mmm,191
P-3m1,164
P-3m1,164
I4/mmm,139
Pnnm,58
Pm-3m,221
Amm2,38
P6_3/mmc,194
P6_3/mmc,194
Cmc2_1,36
F-43m,216
P-42_1c,114
P6_3/mmc,194
P-3m1,164
P4/nmm,129
Fm-3m,225
P6_3/mmc,194
I4/mcm,140
Fm-3m,225
Fm-3m,225
P-62m,189
Fm-3m,225
Fm-3m,225
I4/mmm,139
Pa-3,205
P4/nmm,129
Pbcm,57
Pm-3m,221
I4_1/amd,141
Pm-3m,221
R-3m,166
Fm-3m,225
C2/m,12
I4/mmm,139
I4/mmm,139
Cmcm,63
I4/mmm,139
P-31m,162
P-31m,162
I4/mmm,139
I4/mmm,139
I4/mmm,139
P6_3/mmc,194
R-3m,166
Fm-3m,225
R-3m,166
R-3m,166
I4/mcm,140
Cmcm,63
Fd-3m,227
I4/mmm,139
P6_3mc,186
P-6m2,187
P-62m,189
R-3c,167
P-3m1,164
Pa-3,205
P-3m1,164
P2_1/c,14
I4/mmm,139
Fm-3m,225
P6_3/mmc,194
I-42d,122
P6/mmm,191
R-3m,166
I4/mmm,139
I4/mmm,139
I4/mmm,139
Fm-3m,225
Fm-3m,225
P6_3/mmc,194
P-3m1,164
P6/mmm,191
P2_13,198
Fm-3m,225
P-3m1,164
P-62m,189
I4/mmm,139
I4/mmm,139
P6_3/mmc,194
Cmcm,63
P-6m2,187
I4/mmm,139
P2_13,198
Fm-3m,225
P-3m1,164
F-43m,216
P4/nmm,129
Immm,71
I4/mmm,139
P6_3/mmc,194
