,sg_symbol,sg_number
mp-623511,I4/mmm,139
mp-1992,I4/mcm,140
mp-27502,Pmmn,59
mp-770629,Pnma,62
mp-27202,P2_1/c,14
mp-559608,P-3,147
mp-753943,P3m1,156
mp-755789,P2_1/c,14
mp-19171,P1,1
mp-769834,Fd-3m,227
mp-31746,P2_1,4
mp-754777,R-3m,166
mp-23475,Fm-3m,225
mp-770427,P2_1,4
mp-557592,P2/c,13
mp-10367,F-43m,216
mp-559833,Pbca,61
mp-9761,P6_322,182
mp-42190,I4mm,107
mp-568030,Cmcm,63
mp-764217,P2_1,4
mp-5889,Fd-3m,227
mp-559010,Pna2_1,33
mp-555901,Pmc2_1,26
mp-734042,P2_1/c,14
mp-979956,Pm-3m,221
mp-25058,P2_1/c,14
mp-29654,Pccn,56
mp-764864,P1,1
mp-567306,R-3m,166
mp-743605,P1,1
mp-764165,P2_1/c,14
mp-765835,R3m,160
mp-554699,R-3,148
mp-554288,Pna2_1,33
mp-973480,P4_2/nmc,137
mp-554944,Pnma,62
mp-3462,F-43m,216
mp-19581,Ia-3d,230
mp-778680,P1,1
mp-775226,Pc,7
mp-20877,Pnma,62
mp-773248,P1,1
mp-867749,R-3,148
mp-764734,R3,146
mp-672356,F-43m,216
mp-766114,Pm,6
mp-972876,P6_3/mmc,194
mp-646182,P2_1/m,11
mp-11596,P4mm,99
mp-770406,P2_12_12_1,19
mp-761310,P4_2/mbc,135
mp-763096,P3_1,144
mp-640553,Pmma,51
mp-28711,P-1,2
mp-24291,I4/mmm,139
mp-558946,P-1,2
mp-3829,I-42d,122
mp-13495,Cmcm,63
mp-774708,Pca2_1,29
mp-5671,I4/mmm,139
mp-25500,P-1,2
mp-11300,P4/mmm,123
mp-7361,I4/mmm,139
mp-541473,Ia-3,206
mp-777474,Pnma,62
mp-554996,C2/c,15
mp-504353,C2/c,15
mp-981336,I4/mmm,139
mp-762628,Cc,9
mp-8207,Cmmm,65
mp-23021,Fm-3m,225
mp-766966,Pnma,62
mp-765208,P1,1
mp-680247,R-3c,167
mp-626165,P1,1
mp-775660,Pbam,55
mp-555489,P2_1/c,14
mp-9767,Cmcm,63
mp-770719,P2/c,13
mp-554315,P2_1/c,14
mp-872,Cmcm,63
mp-762643,Cmcm,63
mp-672963,Pbcn,60
mp-764174,P2_1/c,14
mp-777025,Pnma,62
mp-743607,P2_1/c,14
mp-32645,I-42d,122
mp-10288,P2_1/c,14
mp-768200,P2_1/m,11
mp-764412,P1,1
mp-777328,C2,5
mp-18071,P6_3,173
mp-583454,Cmc2_1,36
mp-557025,Pna2_1,33
mp-980052,Fm-3m,225
mp-764447,P1,1
mp-761988,P6_3,173
mp-540110,Pna2_1,33
mp-20462,I4/mmm,139
mp-768326,P1,1
mp-766910,Pc,7
mp-779347,P-1,2
mp-28856,Pbcn,60
mp-13680,Pnma,62
mp-774910,P1,1
mp-772272,P2_1/c,14
mp-615420,P-1,2
mp-542920,Pnma,62
mp-651601,Pbcn,60
mp-583221,C2/c,15
mp-13453,Cmcm,63
mp-776680,R3,146
mp-769856,R-3m,166
mp-777480,P6_3mc,186
mp-764716,Cm,8
mp-541438,Pnma,62
mp-764443,P1,1
mp-571350,I4/mmm,139
mp-771077,P2_1/c,14
mp-853142,Cm,8
mp-565329,Cmme,67
mp-566393,P2_1,4
